num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
4,15.5,2.75,0.887097,1
27,7.7037,3.51852,0.673077,1
21,8.19048,3.61905,0.680233,1
25,7.36,3.56,0.652174,1
52,6.5,3.55769,0.606509,1
34,7.38235,3.55882,0.653386,1
6,9,2.66667,0.814815,1
137,5.43796,3.72263,0.499329,1
45,5.88889,3.42222,0.588679,1
41,6.56098,3.41463,0.63197,1
85,5.68235,3.57647,0.546584,1
8,9.375,2.875,0.8,1
724,5.00138,4.84945,0.230323,1
346,5.12428,4.41618,0.333333,1
22,8,3.22727,0.721591,1
127,5.28346,3.62992,0.502235,1
133,6.25564,4.40602,0.455529,1
370,6.21351,4.18378,0.487603,1
39,6.89744,3.41026,0.650558,1
52,6.17308,3.78846,0.548287,1
157,5.89809,4.13376,0.468683,1
112,6.11607,3.9375,0.519708,1
45,7.42222,3.55556,0.655689,1
29,7.44828,3.44828,0.671296,1
39,6.89744,3.41026,0.650558,1
71,6.12676,3.69014,0.56092,1
80,5.95,3.6625,0.552521,1
7,11.5714,2.71429,0.851852,1
53,6.73585,3.54717,0.621849,1
34,6.47059,3.35294,0.636364,1
330,6.02121,4.97273,0.340211,1
107,5.7757,3.90654,0.496764,1
406,5.12069,4.52463,0.311688,1
82,5.37805,3.37805,0.557823,1
223,5.84305,4.4574,0.408289,1
150,6.14667,4.14667,0.488069,1
127,5.9685,4.08661,0.48285,1
17,7.82353,3.23529,0.714286,1
155,5.37419,4.15484,0.412965,1
65,6.2,3.72308,0.560794,1
6,9.16667,2.83333,0.8,1
49,6.61224,3.61224,0.604938,1
310,5.95484,4.80645,0.36078,1
201,6.30846,3.95025,0.532334,1
147,4.82313,3.63946,0.45275,1
45,6.11111,3.48889,0.592727,1
80,6.4125,3.7875,0.565302,1
33,7.33333,3.42424,0.669421,1
54,5.87037,3.44444,0.583596,1
89,5.78652,3.73034,0.528155,1
208,5.71635,4.34135,0.415475,1
243,5.19342,4.19753,0.384311,1
175,5.00571,3.78286,0.444064,1
214,6.09813,4.54673,0.418391,1
367,6.297,5.30518,0.316313,1
47,6.12766,3.38298,0.611111,1
120,5.84167,4.075,0.473609,1
108,5.37037,3.74074,0.489655,1
346,5.3526,4.51734,0.342873,1
70,5.74286,3.5,0.564677,1
77,6.27273,3.72727,0.565217,1
126,5.84921,4.07937,0.473541,1
49,6.38776,3.65306,0.584665,1
97,5.57732,3.90722,0.478743,1
62,6.56452,3.64516,0.597052,1
90,6.66667,3.85556,0.571667,1
151,5.64238,3.95364,0.476526,1
291,6.14433,4.82818,0.376957,1
41,6.17073,3.46341,0.600791,1
49,6.38776,3.65306,0.584665,1
42,6.69048,3.45238,0.633452,1
1,11,1,1,1
25,6.96,3.28,0.672414,1
647,5.08964,4.80989,0.251442,1
110,6.03636,3.99091,0.504518,1
104,6.375,3.96154,0.535445,1
411,4.9708,4.58881,0.278023,1
165,5.6303,4.13333,0.443488,1
104,5.88462,3.99038,0.49183,1
141,5.55319,3.63121,0.526181,1
54,6.07407,3.40741,0.603659,1
48,5.72917,3.41667,0.578182,1
38,6.28947,3.39474,0.619247,1
103,5.41748,3.6699,0.507168,1
412,6.00728,5.07039,0.322424,1
137,5.46715,3.82482,0.483311,1
106,5.38679,3.66981,0.504378,1
309,6.35275,4.1521,0.503821,1
17,8.94118,3.29412,0.743421,1
141,5.55319,4.04965,0.45083,1
4,12.75,2.75,0.862745,1
302,6.39073,4.16556,0.504663,1
333,5.29429,4.44745,0.348837,1
49,6.65306,3.4898,0.625767,1
135,5.12593,3.73333,0.466763,1
140,5.33571,3.7,0.493976,1
263,5.90875,4.5057,0.406692,1
206,5.08738,4.19417,0.372137,1
76,6.32895,3.68421,0.575884,1
311,6.58521,4.3119,0.49707,1
82,5.56098,3.7439,0.506579,1
264,5.37879,4.27273,0.391549,1
297,4.78788,3.99327,0.374824,1
42,7.16667,3.42857,0.66113,1
44,6.15909,3.43182,0.605166,1
353,5.96034,4.95184,0.336977,1
71,6.16901,3.64789,0.570776,1
143,5.2028,3.75524,0.47043,1
309,5.19417,4.35922,0.353271,1
307,6.27687,4.15309,0.497665,1
50,6.52,3.38,0.634969,1
20,7.65,3.35,0.69281,1
268,6.22761,4.03731,0.512283,1
59,5.9661,3.57627,0.568182,1
152,5.95395,4.24342,0.455249,1
4,14,2.5,0.892857,1
482,5.24896,4.64315,0.305929,1
112,5.82143,3.99107,0.486196,1
83,5.59036,3.63855,0.528017,1
149,6.06711,4.2349,0.466814,1
135,5.9037,4.08148,0.478043,1
120,5.475,3.86667,0.476408,1
25,6.08,3.24,0.631579,1
404,5.07921,4.52228,0.30653,1
73,5.68493,3.54795,0.551807,1
67,6.40299,3.79104,0.564103,1
