num_rules,average_rule_length,average_rule_usage,stddev_rule_length,stddev_rule_usage,proportion_terminal_characters,spam
249,5.19679,4.34137,47.4882,2.84329,0.207921,1
50,5.56,3.4,21.9483,1.38564,0.413613,1
7,8.85714,2.71429,16.7965,1.22057,0.806452,1
77,5.94805,3.72727,33.8457,1.8526,0.422487,1
27,6.74074,3.37037,23.0034,1.73522,0.567308,1
325,6.40923,4.22769,79.0885,2.40778,0.397387,1
4,12.5,2.5,17.6139,1.32288,0.862745,1
189,6.41799,3.89418,60.5035,2.79728,0.425831,1
261,5.63602,4.46743,58.1332,2.97369,0.2553,1
19,7.57895,3.15789,22.7326,1.2466,0.656051,1
33,6.84848,3.30303,26.1964,1.43516,0.576923,1
21,9.7619,3.47619,33.5983,1.74899,0.671053,1
5,11.6,2.6,19.2,1.28062,0.847458,1
33,7.39394,3.51515,30.1601,1.71661,0.585455,1
91,5.89011,3.67033,35.6526,1.55877,0.448012,1
17,7.35294,2.94118,20.419,1.13607,0.686567,1
225,5.01778,3.91556,42.4983,2.04873,0.215883,1
107,6.03738,4.17757,41.4704,1.846,0.372716,1
12,10.9167,3.33333,28.0875,1.43372,0.70068,1
169,5.82249,4.25444,48.3892,2.22288,0.324365,1
55,5.50909,3.54545,24.8368,1.70899,0.434667,1
213,5.79343,4.5446,55.0272,2.87112,0.261749,1
232,4.99138,3.92241,42.7058,2.15819,0.213049,1
188,5.95745,4.48404,53.898,2.78001,0.283191,1
185,5.57297,4.3027,44.3621,2.43627,0.253623,1
111,5.48649,3.75676,35.1406,1.70699,0.363745,1
8,10,2.875,20.7906,1.26861,0.783133,1
23,6.17391,3.13043,17.5119,1.27873,0.550296,1
26,7.88462,3.38462,28.4298,1.49556,0.627193,1
34,7.26471,3.5,29.8962,1.71927,0.578571,1
82,5.65854,3.59756,28.0171,1.53702,0.375749,1
93,5.60215,3.76344,33.5108,1.95596,0.39521,1
182,5.71978,4.37363,49.3767,2.64429,0.273193,1
146,5.82192,4.14384,45.2754,2.20208,0.332766,1
32,6.90625,3.34375,25.5298,1.36036,0.570312,1
82,5.86585,3.76829,33.574,1.65499,0.416393,1
242,6.41736,3.96281,68.1895,2.09551,0.444208,1
190,5.80526,4.4,52.023,2.52732,0.280368,1
31,8.58065,3.45161,34.956,1.76596,0.637584,1
205,5.58049,4.26341,48.7646,2.49368,0.275203,1
137,5.62044,3.88321,41.1949,1.99841,0.367287,1
435,4.31724,3.94023,37.9265,2.35252,0.059906,1
89,5.47191,3.5618,30.5559,1.4414,0.403427,1
182,5.8956,3.67582,49.4442,1.74449,0.357317,1
58,6.01724,3.41379,30.0652,1.30032,0.529114,1
160,5.20625,3.9625,36.482,2.13274,0.256246,1
222,5.00901,3.95045,41.3743,2.11862,0.206227,1
41,7,3.39024,30.5199,1.43778,0.590625,1
485,5.26392,4.84124,68.5356,3.66026,0.14393,1
60,5.75,3.31667,24.6756,1.33531,0.455752,1
45,6.55556,3.55556,29.0146,1.46144,0.509915,1
13,9.92308,3.38462,26.025,1.52106,0.680556,1
1,33,1,0,1,1,1
105,6.04762,3.88571,40.788,1.86606,0.393832,1
223,5.08072,3.96413,41.5486,2.00304,0.209127,1
137,6.05839,4.12409,46.815,2.12371,0.368807,1
161,5.50932,4.03727,42.812,2.16519,0.319166,1
344,5.18605,4.43023,54.0998,3.15506,0.184427,1
95,5.45263,3.67368,25.9837,1.68549,0.27673,1
3,16,2.33333,19.799,1.37437,0.916667,1
215,5.14884,3.9907,42.6517,2.11636,0.211293,1
226,5.0177,3.9292,42.8032,2.19701,0.210997,1
10,7.7,2.9,17.1,1.22066,0.725,1
33,6.87879,3.42424,27.0698,1.56728,0.57874,1
238,4.94538,3.97899,43.0731,2.06704,0.203478,1
41,5.80488,3.41463,22.1813,2.01792,0.469595,1
32,6.625,3.5625,25.2138,1.78426,0.515873,1
300,6.4,4.05667,75.9675,2.04616,0.433824,1
516,5.15504,4.74031,67.5925,3.87028,0.140277,1
55,5.67273,3.56364,25.7689,1.63222,0.385135,1
65,5.44615,3.44615,23.2412,1.31887,0.347594,1
388,5.00773,4.2732,48.7983,2.88662,0.153899,1
50,5.74,3.5,24.625,1.37477,0.321429,1
104,6.04808,4.04808,40.1977,2.03517,0.376357,1
322,5.07764,4.20497,50.4614,3.16251,0.190702,1
14,8,3,20.252,1.19523,0.666667,1
391,4.82609,4.29156,50.5555,2.79466,0.103288,1
174,6.87931,4.02874,63.7217,2.85759,0.42648,1
54,6.12963,3.61111,29.653,1.66017,0.472637,1
93,6.01075,3.90323,37.9509,1.82318,0.397524,1
18,7.83333,3.38889,23.81,1.41966,0.620253,1
45,6.28889,3.48889,28.1485,1.33537,0.508929,1
40,6.975,3.4,29.6315,1.49666,0.577287,1
87,6.18391,3.78161,38.1538,1.67418,0.430859,1
91,5.83516,3.82418,33.0262,2.0386,0.335373,1
610,6.39508,5.72295,107.368,4.86341,0.153245,1
37,6.56757,3.62162,26.41,1.64154,0.48505,1
4,15.5,2.75,23.3827,1.47902,0.873016,1
27,7.7037,3.51852,27.7259,1.65262,0.580913,1
21,8.19048,3.61905,27.4619,1.79884,0.546729,1
25,7.36,3.56,25.8517,1.9714,0.571429,1
52,6.5,3.55769,31.857,1.61023,0.515075,1
34,7.38235,3.55882,30.7456,1.64837,0.579505,1
6,9,2.66667,15.6525,1.24722,0.814815,1
137,5.43796,3.72263,38.6398,1.99353,0.329204,1
45,5.88889,3.42222,23.0277,1.31637,0.39196,1
41,6.56098,3.41463,27.7428,1.45628,0.539683,1
85,5.68235,3.57647,32.5516,1.67245,0.428571,1
8,9.375,2.875,19.5124,1.26861,0.779221,1
724,5.00138,4.84945,73.347,4.12119,0.102231,1
346,5.12428,4.41618,51.7427,2.94166,0.174904,1
22,8,3.22727,25.1197,1.41202,0.622549,1
127,5.28346,3.62992,32.687,1.69902,0.281773,1
133,6.25564,4.40602,48.8936,2.31873,0.344859,1
370,6.21351,4.18378,80.7308,2.3501,0.386285,1
39,6.89744,3.41026,28.5781,1.39996,0.548589,1
52,6.17308,3.78846,28.6844,1.91489,0.442211,1
157,5.89809,4.13376,47.9674,2.27586,0.353997,1
112,6.11607,3.9375,42.9864,1.77925,0.416374,1
45,7.42222,3.55556,35.5156,1.7004,0.565891,1
29,7.44828,3.44828,27.5125,1.62069,0.58,1
39,6.89744,3.41026,28.5781,1.39996,0.548589,1
71,6.12676,3.69014,30.8134,1.81614,0.417808,1
80,5.95,3.6625,34.4365,1.48277,0.439799,1
7,11.5714,2.71429,23.0395,1.22057,0.841463,1
53,6.73585,3.54717,32.7697,1.68306,0.524823,1
34,6.47059,3.35294,24.6436,1.30344,0.546875,1
330,6.02121,4.97273,72.4973,3.25612,0.226314,1
107,5.7757,3.90654,37.1384,1.83442,0.362884,1
406,5.12069,4.52463,59.4771,3.29997,0.172708,1
82,5.37805,3.37805,24.172,1.33106,0.358079,1
223,5.84305,4.4574,56.2542,2.70056,0.284949,1
150,6.14667,4.14667,50.3709,2.10519,0.382653,1
127,5.9685,4.08661,42.5215,2.01773,0.354995,1
17,7.82353,3.23529,22.306,1.32972,0.637584,1
155,5.37419,4.15484,39.6205,2.11185,0.261995,1
65,6.2,3.72308,28.9281,1.78892,0.385009,1
6,9.16667,2.83333,14.6903,1.34371,0.745763,1
49,6.61224,3.61224,30.8047,1.5026,0.503856,1
310,5.95484,4.80645,68.5532,2.98079,0.24026,1
201,6.30846,3.95025,60.7188,2.54951,0.416924,1
147,4.82313,3.63946,28.2001,1.81245,0.24009,1
45,6.11111,3.48889,25.6222,1.7272,0.492447,1
80,6.4125,3.7875,38.8821,2.0597,0.470779,1
33,7.33333,3.42424,29.1159,1.31496,0.591241,1
54,5.87037,3.44444,26.1407,1.52348,0.475578,1
