num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
47,5.53191,3.42553,0.561538,0
493,4.85801,4.51116,0.277244,0
362,4.78177,4.25967,0.318313,0
30,6.36667,3.23333,0.649215,0
25,7.28,3.32,0.681319,0
45,5.62222,3.26667,0.596838,0
101,5.27723,3.68317,0.491557,0
37,6.72973,3.48649,0.630522,0
164,4.93902,3.80488,0.432099,0
50,6.56,3.48,0.621951,0
480,5.14792,4.74375,0.272764,0
111,5.11712,3.64865,0.482394,0
94,5.19149,3.52128,0.514344,0
51,5.92157,3.39216,0.596026,0
19,7.47368,2.94737,0.739437,0
10,9.5,2.8,0.810526,0
359,4.78273,4.33705,0.302271,0
126,5.18254,3.80159,0.459418,0
2,19.5,2,0.948718,0
67,5.64179,3.70149,0.521164,0
140,4.94286,3.67143,0.459538,0
192,4.42188,3.71354,0.386337,0
51,6.80392,3.58824,0.619597,0
105,5.13333,3.61905,0.489796,0
420,4.92381,4.35714,0.318182,0
412,4.32282,4.02184,0.300955,0
183,5.32787,4.15301,0.408205,0
83,5.59036,3.51807,0.549569,0
217,5.13364,4.07373,0.401257,0
45,6.17778,3.44444,0.604317,0
133,5.14286,3.77444,0.460526,0
160,5.66875,4.35,0.409041,0
401,4.85786,4.32419,0.315708,0
346,5.07225,4.50289,0.309402,0
21,7.61905,3.2381,0.70625,0
9,9.66667,2.77778,0.816092,0
45,5.77778,3.4,0.584615,0
162,4.96296,4.03704,0.38806,0
109,5.26606,3.84404,0.45993,0
282,4.95745,4.29078,0.336195,0
212,4.83019,4.04245,0.370117,0
213,5.00939,4.0892,0.383318,0
286,4.96503,4.36713,0.321831,0
27,8.07407,3.25926,0.720183,0
154,4.92857,3.83117,0.42556,0
23,7.47826,3.17391,0.709302,0
327,5.32416,4.51988,0.338886,0
79,5.83544,3.58228,0.557484,0
57,6.38596,3.68421,0.57967,0
43,5.72093,3.34884,0.589431,0
6,9.66667,2.83333,0.810345,0
29,7.27586,3.31034,0.682464,0
3,18,2.66667,0.907407,0
44,5.84091,3.38636,0.59144,0
7,9.28571,2.85714,0.8,0
170,4.82353,3.7,0.440244,0
130,5.2,3.74615,0.471893,0
333,4.84685,4.23423,0.332714,0
37,6.21622,3.32432,0.626087,0
246,4.79675,4.07724,0.358475,0
47,5.89362,3.48936,0.577617,0
123,5.43902,3.62602,0.51719,0
102,5.36275,3.76471,0.484461,0
76,5.90789,3.68421,0.545657,0
71,5.39437,3.50704,0.535248,0
305,4.72787,4.03279,0.35853,0
20,7.25,3.1,0.710345,0
40,6.675,3.625,0.606742,0
414,4.88406,4.44928,0.293769,0
121,5.12397,3.82645,0.448387,0
84,5.21429,3.36905,0.545662,0
35,6.6,3.42857,0.632035,0
621,5.08535,4.83414,0.246042,0
20,7.25,3.2,0.696552,0
3,13.3333,2.33333,0.9,0
46,5.80435,3.34783,0.595506,0
230,4.6087,3.86957,0.377358,0
37,6.67568,3.2973,0.65587,0
38,6.23684,3.36842,0.620253,0
39,6.20513,3.20513,0.644628,0
265,4.7434,4.17358,0.330947,0
114,5.34211,3.72807,0.489327,0
57,5.68421,3.49123,0.561728,0
494,5.083,4.67814,0.276384,0
117,5.26496,3.7265,0.482143,0
80,5,3.4375,0.5125,0
391,4.81586,4.34527,0.305364,0
141,5.82979,3.85106,0.510949,0
158,5.17722,3.82278,0.454768,0
418,5.07895,4.57895,0.295337,0
66,6.10606,3.59091,0.575682,0
210,4.93333,3.94286,0.403475,0
174,4.76437,3.86207,0.399276,0
65,4.90769,3.35385,0.520376,0
37,6.27027,3.45946,0.607759,0
64,6.20312,3.60938,0.579345,0
29,7,3.31034,0.669951,0
328,4.95122,4.27439,0.33867,0
46,5.73913,3.23913,0.609848,0
134,5.1194,3.83582,0.446064,0
280,4.41429,3.88214,0.347087,0
556,4.83813,4.53957,0.268401,0
145,5.44138,4.01379,0.446134,0
30,7.26667,3.36667,0.674312,0
123,5.39837,3.78862,0.483434,0
255,4.45098,3.82745,0.364758,0
36,5.86111,3.36111,0.597156,0
243,5.35391,4.2428,0.394312,0
38,5.94737,3.39474,0.597345,0
85,5.31765,3.58824,0.513274,0
101,5.52475,3.84158,0.485663,0
252,4.97222,4.15079,0.366321,0
91,5.59341,3.65934,0.524558,0
200,5.055,3.975,0.411474,0
43,6,3.30233,0.616279,0
59,5.62712,3.47458,0.560241,0
183,4.54098,3.70492,0.404332,0
134,5.06716,3.74627,0.458027,0
27,6.48148,3.22222,0.657143,0
209,5.2201,3.98565,0.428048,0
40,6.975,3.525,0.637993,0
97,5.47423,3.61856,0.521657,0
23,7.08696,3.34783,0.668712,0
132,5.42424,3.77273,0.488827,0
